gene,drift_velocity,abs_drift
RPS26,-0.19829085,0.19829085
MT-ATP8,0.18340792,0.18340792
MT-ND3,0.13655134,0.13655134
MT-ND4,0.12801142,0.12801142
DUSP2,-0.099753365,0.099753365
CD69,-0.096421875,0.096421875
MT-CO3,0.095009804,0.095009804
NKG7,-0.09487128,0.09487128
MT-ND5,0.09123818,0.09123818
IL32,-0.090695076,0.090695076
MT-CYB,0.08983679,0.08983679
ISG20,-0.08930102,0.08930102
MT-ND4L,0.0890856,0.0890856
IFITM1,-0.0849124,0.0849124
MT-ATP6,0.0808062,0.0808062
CD74,-0.07930573,0.07930573
CST7,-0.07884515,0.07884515
ZFP36,-0.07281751,0.07281751
MT-CO1,0.06852816,0.06852816
MT-CO2,0.06513807,0.06513807
TXNIP,0.06285791,0.06285791
MT-ND6,0.06266407,0.06266407
ISG15,-0.058405064,0.058405064
GZMA,-0.058150753,0.058150753
IL7R,0.057367552,0.057367552
JUN,0.056955297,0.056955297
PFN1,-0.056283914,0.056283914
MT2A,-0.055289105,0.055289105
RPS10,0.05246841,0.05246841
GZMK,-0.05132252,0.05132252
ACTB,-0.047077492,0.047077492
ZFP36L1,0.046175823,0.046175823
CXCL13,0.044762783,0.044762783
GIMAP7,-0.044417214,0.044417214
GZMM,-0.04350739,0.04350739
SAT1,-0.043309692,0.043309692
GIMAP4,-0.042427663,0.042427663
BTG2,-0.04207229,0.04207229
RGS1,-0.04190456,0.04190456
DNAJB1,-0.040254,0.040254
MALAT1,0.04004145,0.04004145
CD8A,-0.03933871,0.03933871
UCP2,-0.03873238,0.03873238
ALOX5AP,-0.03569299,0.03569299
ANXA1,-0.035144065,0.035144065
VIM,0.03504309,0.03504309
MX1,-0.03446936,0.03446936
TAGAP,-0.03444813,0.03444813
CTSW,-0.034100424,0.034100424
GZMH,-0.033990964,0.033990964
COX5A,-0.032740902,0.032740902
GZMB,-0.03264364,0.03264364
CD27,-0.032520074,0.032520074
CTSD,0.032399245,0.032399245
CYTOR,-0.03204161,0.03204161
TNFRSF18,0.03137793,0.03137793
PRF1,-0.030571204,0.030571204
KLF6,-0.030175216,0.030175216
NR3C1,0.03001157,0.03001157
