gene,drift_velocity,abs_drift
TXNIP,-0.3355959,0.3355959
TSC22D3,-0.32319352,0.32319352
JUNB,-0.3163193,0.3163193
FOS,-0.25808164,0.25808164
RGS1,-0.24680921,0.24680921
GNLY,-0.22809982,0.22809982
TNFAIP3,-0.21854609,0.21854609
NFKBIA,-0.21323408,0.21323408
RPS26,0.2064416,0.2064416
IL7R,-0.19176301,0.19176301
JUN,-0.17815998,0.17815998
CXCR4,-0.15230146,0.15230146
CD7,-0.1522557,0.1522557
MT-ND6,-0.15137374,0.15137374
MT-ATP8,-0.14681296,0.14681296
CD8B,-0.13284242,0.13284242
CD74,-0.13254659,0.13254659
S100A4,-0.1311946,0.1311946
ID2,-0.13050735,0.13050735
CD8A,-0.13049422,0.13049422
HMGN2,-0.12939596,0.12939596
ZFP36L2,-0.123836085,0.123836085
BTG1,-0.122238345,0.122238345
ISG20,-0.122123376,0.122123376
RPS10,-0.12142142,0.12142142
PTPRCAP,-0.1171564,0.1171564
HMGB2,-0.11688321,0.11688321
DUSP2,0.11474498,0.11474498
SLC2A3,0.11435236,0.11435236
GBP5,-0.11431669,0.11431669
SAMSN1,-0.111042574,0.111042574
HERPUD1,-0.10719138,0.10719138
ITGB1,-0.100070186,0.100070186
CTLA4,-0.09982022,0.09982022
MT-CYB,0.096879974,0.096879974
STAT1,-0.091427885,0.091427885
CD27,-0.09116761,0.09116761
RGCC,0.090277895,0.090277895
NEAT1,-0.08967826,0.08967826
SLA,-0.08931161,0.08931161
FKBP5,-0.087761655,0.087761655
TOB1,-0.0864299,0.0864299
IER2,0.086115114,0.086115114
PARP8,-0.08563638,0.08563638
SAT1,-0.08215243,0.08215243
DDIT4,-0.080666155,0.080666155
MT2A,-0.08056096,0.08056096
LGALS3,-0.08040418,0.08040418
BTG2,0.07979738,0.07979738
CARD16,-0.07873158,0.07873158
DUSP4,-0.07774335,0.07774335
BIRC3,-0.07773396,0.07773396
CXCR6,-0.07521612,0.07521612
IFI6,-0.074818656,0.074818656
HLA-DRB5,-0.074268825,0.074268825
MT-CO2,0.07168352,0.07168352
LINC01871,-0.07165004,0.07165004
BST2,-0.071397826,0.071397826
RBPJ,-0.07139551,0.07139551
CTSD,-0.069352694,0.069352694
AREG,-0.068961084,0.068961084
HSPA1A,-0.06870035,0.06870035
ITM2C,0.06799534,0.06799534
CD69,0.06691569,0.06691569
GAPDH,-0.0660682,0.0660682
GBP2,-0.064284146,0.064284146
TNFRSF1B,-0.063968666,0.063968666
SPOCK2,-0.0635684,0.0635684
NR4A2,0.063431196,0.063431196
IFITM2,-0.06146313,0.06146313
GZMH,-0.06059843,0.06059843
PGAM1,-0.059644453,0.059644453
GZMM,0.059631377,0.059631377
IL32,-0.059593223,0.059593223
DNAJB1,-0.058523916,0.058523916
CXCL13,-0.0584828,0.0584828
LGALS1,-0.05831747,0.05831747
UCP2,-0.058156695,0.058156695
IKZF3,-0.058129504,0.058129504
ZFP36L1,0.058055025,0.058055025
TIGIT,-0.057759,0.057759
LTB,-0.0574935,0.0574935
PTMS,-0.05656599,0.05656599
ACTB,0.055599798,0.055599798
SYTL3,-0.05539374,0.05539374
ANXA1,0.05487662,0.05487662
SOCS1,-0.05396643,0.05396643
TYMP,-0.053840652,0.053840652
EGR3,0.053794008,0.053794008
ERN1,-0.05368919,0.05368919
CCNH,-0.053350847,0.053350847
TPT1,-0.053177517,0.053177517
ACP5,-0.05294426,0.05294426
FTL,-0.0528688,0.0528688
CRYBG1,-0.052834984,0.052834984
ITGA4,-0.052743774,0.052743774
PRDM1,-0.052248776,0.052248776
MT-ATP6,0.051838934,0.051838934
COX5A,-0.051673938,0.051673938
RNF19A,-0.051647108,0.051647108
RPS13,0.05131612,0.05131612
ISG15,-0.05129365,0.05129365
CD63,-0.050957154,0.050957154
CALR,-0.050552655,0.050552655
GIMAP4,-0.050492093,0.050492093
GZMA,-0.049781594,0.049781594
EGR2,0.0492944,0.0492944
PDE3B,-0.048624396,0.048624396
MT-CO3,0.04840827,0.04840827
LINC01943,-0.047457077,0.047457077
CD40LG,0.045904316,0.045904316
IL2,0.04575434,0.04575434
LAG3,-0.045294914,0.045294914
C12orf75,-0.045001004,0.045001004
XCL2,0.044843867,0.044843867
PDE4D,-0.044688523,0.044688523
IL6ST,-0.04415839,0.04415839
ITGAE,-0.044097576,0.044097576
NCF1,0.043884553,0.043884553
CYTOR,-0.04378094,0.04378094
GPR171,-0.043513127,0.043513127
MT-ND4L,0.043366984,0.043366984
EPSTI1,-0.043210756,0.043210756
PAG1,-0.04311503,0.04311503
RORA,-0.042704914,0.042704914
LYST,-0.042535383,0.042535383
IL2RB,-0.04244621,0.04244621
ARID5B,-0.04241561,0.04241561
CD55,-0.04231382,0.04231382
NKG7,-0.041785,0.041785
RPS8,0.041573558,0.041573558
COTL1,-0.04124169,0.04124169
IFI44L,-0.04109471,0.04109471
HAVCR2,-0.041055925,0.041055925
MYC,0.04090436,0.04090436
RPL11,0.040610258,0.040610258
EGR1,0.040541153,0.040541153
IRF1,0.0403116,0.0403116
PHLDA1,-0.039900977,0.039900977
PMAIP1,-0.039667647,0.039667647
PFN1,0.039616473,0.039616473
ZEB2,0.03946661,0.03946661
JAML,-0.039455354,0.039455354
CTSW,-0.039281346,0.039281346
EOMES,0.039064784,0.039064784
IRF4,0.038945645,0.038945645
NFKBIZ,-0.038913704,0.038913704
ENO1,-0.038893685,0.038893685
SH2D2A,-0.03889107,0.03889107
TRDC,0.038638756,0.038638756
TNFRSF18,-0.038518224,0.038518224
BATF,-0.03849172,0.03849172
FCMR,-0.03846638,0.03846638
TRBC1,0.03828297,0.03828297
SNX9,-0.0381902,0.0381902
HOPX,-0.03813718,0.03813718
PTGER4,-0.037401516,0.037401516
SELL,-0.03717287,0.03717287
MGP,0.036948957,0.036948957
GZMK,0.036510803,0.036510803
S100A6,-0.036163453,0.036163453
MT-ND5,-0.03608244,0.03608244
GBP1,-0.03607479,0.03607479
CTSC,-0.035942283,0.035942283
MBP,0.035813037,0.035813037
IFITM3,-0.035744615,0.035744615
CITED2,-0.035318058,0.035318058
TUBA1B,-0.035204135,0.035204135
ANKRD28,-0.03483903,0.03483903
PELI1,-0.034453794,0.034453794
NELL2,-0.033496216,0.033496216
KLRG1,0.033115905,0.033115905
C1orf162,0.03298612,0.03298612
TAGAP,-0.032209937,0.032209937
NR4A1,0.032130394,0.032130394
MT-ND4,0.031996805,0.031996805
MIR4435-2HG,-0.03165881,0.03165881
RPS19,-0.03160042,0.03160042
DNPH1,-0.031426255,0.031426255
CREM,-0.03137099,0.03137099
SAMD9L,-0.031128243,0.031128243
TNFSF13B,-0.031087864,0.031087864
GLUL,-0.031008035,0.031008035
FOSB,0.03088468,0.03088468
XIST,-0.030834557,0.030834557
TRIM22,-0.030678926,0.030678926
SYNE2,-0.030585663,0.030585663
CST7,-0.030443812,0.030443812
IVNS1ABP,-0.02968272,0.02968272
TMSB10,-0.029538967,0.029538967
TSPYL2,-0.029318456,0.029318456
GALNT2,-0.028810143,0.028810143
SYNGR2,-0.02845805,0.02845805
SYTL2,-0.02813761,0.02813761
GLRX,-0.02791428,0.02791428
KRT86,-0.027805787,0.027805787
ADGRE5,-0.027791144,0.027791144
RGS2,-0.027754713,0.027754713
EIF2AK2,-0.026637848,0.026637848
SOCS3,0.026490323,0.026490323
GABPB1-AS1,-0.026450658,0.026450658
XCL1,0.026442952,0.026442952
IFNG,0.026284326,0.026284326
MATK,0.02586911,0.02586911
CAMK4,-0.025739217,0.025739217
IFI44,-0.02549026,0.02549026
OGT,-0.025465094,0.025465094
RPS6,-0.025449578,0.025449578
STMN1,-0.0253499,0.0253499
PTGER2,-0.02515553,0.02515553
VIM,0.024737958,0.024737958
KLF2,-0.02469136,0.02469136
TGIF1,-0.024468675,0.024468675
MX1,-0.024359282,0.024359282
