gene,drift_velocity,abs_drift
RPS26,-0.2069014,0.2069014
MT-ATP8,0.17509305,0.17509305
MT-ND3,0.14318667,0.14318667
MT-ND4,0.129644,0.129644
NKG7,-0.1112282,0.1112282
IFITM1,-0.10483371,0.10483371
DUSP2,-0.10255528,0.10255528
MT-CO3,0.10211598,0.10211598
CD69,-0.10172193,0.10172193
ISG20,-0.09781265,0.09781265
ZFP36,-0.09392858,0.09392858
IL32,-0.0931616,0.0931616
MT-CYB,0.09148408,0.09148408
MT-ND4L,0.08770117,0.08770117
MT-ND5,0.08713567,0.08713567
CST7,-0.08553407,0.08553407
CD74,-0.08349989,0.08349989
MT-ATP6,0.07514403,0.07514403
ISG15,-0.069291115,0.069291115
MT-CO1,0.069185995,0.069185995
MT-ND6,0.06652128,0.06652128
JUN,0.065540716,0.065540716
MT2A,-0.06508165,0.06508165
MT-CO2,0.06469912,0.06469912
PFN1,-0.064407535,0.064407535
GZMA,-0.06410299,0.06410299
RPS10,0.064008206,0.064008206
GZMK,-0.06195949,0.06195949
IL7R,0.058260124,0.058260124
ACTB,-0.05702114,0.05702114
BTG2,-0.056472864,0.056472864
ZFP36L1,0.053989556,0.053989556
GIMAP7,-0.052044142,0.052044142
TXNIP,0.05159469,0.05159469
GZMM,-0.04859321,0.04859321
SAT1,-0.04772125,0.04772125
JUNB,-0.04733478,0.04733478
GIMAP4,-0.046357114,0.046357114
RGS1,-0.04526601,0.04526601
MX1,-0.04315247,0.04315247
ANXA1,-0.043030243,0.043030243
IRF1,-0.041961335,0.041961335
NFKBIA,-0.0391078,0.0391078
DNAJB1,-0.038908552,0.038908552
CD8A,-0.038469955,0.038469955
GZMH,-0.038372986,0.038372986
UCP2,-0.03724934,0.03724934
SLC2A3,-0.036985125,0.036985125
GZMB,-0.0363343,0.0363343
CTSW,-0.035913434,0.035913434
CXCL13,0.035911985,0.035911985
COX5A,-0.0357914,0.0357914
MALAT1,0.035555832,0.035555832
TMSB10,-0.035368614,0.035368614
ALOX5AP,-0.034394052,0.034394052
APOBEC3G,-0.03414723,0.03414723
MCL1,-0.0337745,0.0337745
TAGAP,-0.0333719,0.0333719
RPS13,-0.032979403,0.032979403
GAPDH,-0.032947615,0.032947615
GSTP1,-0.032669205,0.032669205
PRF1,-0.032601133,0.032601133
KRT19,0.032336902,0.032336902
STAT1,-0.030828193,0.030828193
ENO1,-0.0303567,0.0303567
CYTOR,-0.030145815,0.030145815
KRT8,0.030104708,0.030104708
TRIM22,-0.029746927,0.029746927
CTSD,0.028673295,0.028673295
VIM,0.028510662,0.028510662
CD7,-0.02843009,0.02843009
TNFAIP3,-0.028329786,0.028329786
FOSB,0.028306829,0.028306829
SH2D2A,-0.028088456,0.028088456
KLF6,-0.028001698,0.028001698
