gene,drift_velocity,abs_drift
TSC22D3,-0.3718734,0.3718734
TXNIP,-0.30158463,0.30158463
GNLY,-0.27808273,0.27808273
RPS26,0.21696642,0.21696642
TNFAIP3,-0.20340328,0.20340328
MT-ND6,-0.19496743,0.19496743
IL7R,-0.19073278,0.19073278
RGS1,-0.1844243,0.1844243
CXCR4,-0.1771404,0.1771404
BTG1,-0.17586368,0.17586368
ZFP36L2,-0.16817145,0.16817145
S100A4,-0.15561473,0.15561473
CD74,-0.1553048,0.1553048
RPS10,-0.15040047,0.15040047
CD8B,-0.14965582,0.14965582
NFKBIA,-0.14833574,0.14833574
CD8A,-0.14362867,0.14362867
PTPRCAP,-0.13109648,0.13109648
HMGN2,-0.12699181,0.12699181
MT-ATP8,-0.12696405,0.12696405
GBP5,-0.122514136,0.122514136
ID2,-0.119237736,0.119237736
IER2,0.11908587,0.11908587
ISG20,-0.11873909,0.11873909
ITGB1,-0.11617893,0.11617893
NEAT1,-0.11396566,0.11396566
SLC2A3,0.10784634,0.10784634
CD27,-0.10551249,0.10551249
SAMSN1,-0.100000754,0.100000754
STAT1,-0.09968304,0.09968304
CD7,-0.09521083,0.09521083
GAPDH,-0.09384578,0.09384578
LGALS1,-0.092356995,0.092356995
ITM2C,0.0919617,0.0919617
HMGB2,-0.08946923,0.08946923
RGCC,0.0876126,0.0876126
MT-CYB,0.084787756,0.084787756
MT-ND5,-0.082361855,0.082361855
HERPUD1,-0.08231601,0.08231601
BTG2,0.07972637,0.07972637
LGALS3,-0.07920444,0.07920444
DDIT4,-0.07840173,0.07840173
CTLA4,-0.078278944,0.078278944
HLA-DRB5,-0.07761302,0.07761302
GZMH,-0.07596972,0.07596972
IFI6,-0.07553848,0.07553848
BIRC3,-0.07483556,0.07483556
CARD16,-0.07313744,0.07313744
SLA,-0.07213395,0.07213395
CXCR6,-0.072113894,0.072113894
CTSD,-0.071651585,0.071651585
SAT1,-0.07057002,0.07057002
RBPJ,-0.07030884,0.07030884
IFITM1,0.06949091,0.06949091
GZMM,0.06898028,0.06898028
GBP2,-0.06876877,0.06876877
UCP2,-0.06850208,0.06850208
PARP8,-0.06802375,0.06802375
TNFRSF1B,-0.067188144,0.067188144
SPOCK2,-0.066695586,0.066695586
TOB1,-0.065537006,0.065537006
DUSP4,-0.06549569,0.06549569
LINC01871,-0.065356016,0.065356016
TPT1,-0.06533296,0.06533296
BST2,-0.06460793,0.06460793
MT-CO2,0.06428524,0.06428524
ITGA4,-0.06413736,0.06413736
ACTB,0.06259686,0.06259686
LTB,-0.061813746,0.061813746
FKBP5,-0.061692264,0.061692264
DUSP2,0.060311407,0.060311407
TYMP,-0.059312355,0.059312355
SYNE2,-0.059196986,0.059196986
PTMS,-0.058835153,0.058835153
MT2A,-0.058493,0.058493
IKZF3,-0.0570314,0.0570314
FTL,-0.056854386,0.056854386
TIGIT,-0.055911407,0.055911407
TRDC,0.055855446,0.055855446
NKG7,-0.05561191,0.05561191
CALR,-0.05502852,0.05502852
PGAM1,-0.0547063,0.0547063
CXCL13,-0.054420423,0.054420423
IRF1,0.054372154,0.054372154
RORA,-0.05411799,0.05411799
MT-ATP6,0.053757817,0.053757817
IFI44L,-0.0526108,0.0526108
C12orf75,-0.05171763,0.05171763
LYST,-0.050972424,0.050972424
CD69,0.05074627,0.05074627
ISG15,-0.05073442,0.05073442
CYTOR,-0.050237387,0.050237387
COX5A,-0.04979092,0.04979092
NR4A2,0.049337797,0.049337797
ACP5,-0.04893688,0.04893688
JUNB,-0.048070434,0.048070434
CD63,-0.04756545,0.04756545
RPS13,0.047556583,0.047556583
ANXA1,0.047503192,0.047503192
TRBC1,0.047492225,0.047492225
PAG1,-0.046880864,0.046880864
NCF1,0.046011303,0.046011303
SYTL3,-0.045970153,0.045970153
PDE3B,-0.045501888,0.045501888
ZFP36L1,0.045227416,0.045227416
FOS,-0.044049628,0.044049628
ITGAE,-0.043610774,0.043610774
GZMK,0.04360794,0.04360794
ENO1,-0.043283578,0.043283578
RPS19,-0.042942327,0.042942327
XCL2,0.04291347,0.04291347
CD40LG,0.04279652,0.04279652
HSPA1A,-0.042706598,0.042706598
XIST,-0.0421522,0.0421522
ERN1,-0.04174171,0.04174171
CTSC,-0.041661307,0.041661307
GIMAP4,-0.041497,0.041497
EPSTI1,-0.041270725,0.041270725
HAVCR2,-0.041152462,0.041152462
SH2D2A,-0.039913625,0.039913625
MT-ND4L,0.039539654,0.039539654
ADGRE5,-0.039223887,0.039223887
RPL11,0.039001282,0.039001282
HOPX,-0.03896014,0.03896014
JAML,-0.038844347,0.038844347
MGP,0.038525242,0.038525242
GBP1,-0.038377136,0.038377136
HBB,0.03805781,0.03805781
MBP,0.03786947,0.03786947
PDE4D,-0.037860096,0.037860096
C1orf162,0.037810624,0.037810624
S100A6,-0.03760857,0.03760857
CD55,-0.03737471,0.03737471
TRDV1,0.03731695,0.03731695
PFN1,0.03693379,0.03693379
MT-ND4,0.036782138,0.036782138
IVNS1ABP,-0.036626004,0.036626004
JUN,-0.036203653,0.036203653
GPR171,-0.036196038,0.036196038
PBXIP1,-0.036088057,0.036088057
SAMD9L,-0.03604615,0.03604615
ARID5B,-0.03588714,0.03588714
RNF19A,-0.03548691,0.03548691
PKM,-0.03535045,0.03535045
FCMR,-0.034351084,0.034351084
CLDND1,-0.034343123,0.034343123
SELL,-0.0341629,0.0341629
ZFP36,0.03407884,0.03407884
CRYBG1,-0.03383778,0.03383778
TNFRSF18,-0.033770017,0.033770017
TAGAP,-0.03359644,0.03359644
MT-CO3,0.03355111,0.03355111
TMSB10,-0.03346433,0.03346433
PHLDA1,-0.033265613,0.033265613
TRIM22,-0.03294956,0.03294956
CST7,-0.032684457,0.032684457
TUBA1B,-0.032369923,0.032369923
AREG,-0.03225494,0.03225494
IFITM3,-0.03216842,0.03216842
IL6ST,-0.03208208,0.03208208
NFKBIZ,-0.03182454,0.03182454
SOCS1,-0.031702414,0.031702414
MX1,-0.03144081,0.03144081
LAG3,-0.031376008,0.031376008
MIR4435-2HG,-0.031322513,0.031322513
GLRX,-0.031123774,0.031123774
EIF2AK2,-0.030772885,0.030772885
GALNT2,-0.030381795,0.030381795
LINC01943,-0.030283064,0.030283064
NELL2,-0.030093446,0.030093446
CCNH,-0.030090036,0.030090036
DNPH1,-0.029824425,0.029824425
SYNGR2,-0.029660285,0.029660285
