gene,drift_velocity,abs_drift,is_death_gene,is_birth_gene
ZFP36L2,0.31258157,0.31258157,False,False
LTB,0.3058794,0.3058794,False,False
RPS26,0.2828212,0.2828212,False,False
MT-ND4,0.27365544,0.27365544,False,False
FTL,0.2297503,0.2297503,True,False
S100A4,0.21038516,0.21038516,True,False
ZFP36,0.2001348,0.2001348,False,False
DDIT4,0.19570363,0.19570363,True,False
MT-ND6,-0.18415636,0.18415636,False,False
CXCL13,-0.18325524,0.18325524,False,False
MT-ATP6,0.17933238,0.17933238,False,False
IER2,0.17824852,0.17824852,False,False
COTL1,0.1778057,0.1778057,False,False
DUSP1,0.17508759,0.17508759,False,False
DNAJB1,0.16335794,0.16335794,False,False
IL7R,0.15702747,0.15702747,False,False
DUSP2,0.15636148,0.15636148,False,True
ITM2A,-0.14547384,0.14547384,False,False
S100A6,0.1444776,0.1444776,False,False
BTG2,0.14030288,0.14030288,True,False
RPS13,0.13864379,0.13864379,False,False
FTH1,0.13863918,0.13863918,False,False
RPL34,0.13787627,0.13787627,False,True
IFI6,-0.13692856,0.13692856,False,False
MT-CYB,0.13223566,0.13223566,False,False
MT-ND3,0.12996438,0.12996438,False,False
RPL11,0.12886219,0.12886219,False,False
KLF6,-0.12835999,0.12835999,False,False
XCL1,-0.126751,0.126751,False,False
CALR,-0.12102161,0.12102161,True,False
TRBC1,0.12079255,0.12079255,False,False
RPS8,0.120052114,0.120052114,False,False
ANXA1,-0.11993277,0.11993277,True,False
IL32,0.11622547,0.11622547,False,False
SLC2A3,0.11617317,0.11617317,False,False
SPOCK2,0.11609435,0.11609435,False,False
KLRD1,-0.1130532,0.1130532,False,False
ALOX5AP,-0.111111,0.111111,False,False
XCL2,-0.11050514,0.11050514,False,False
IFITM1,-0.10823091,0.10823091,False,False
CD69,-0.107327335,0.107327335,True,False
MT-CO3,0.10663941,0.10663941,False,False
MT-ND4L,0.104978085,0.104978085,False,False
ID2,-0.10482958,0.10482958,False,False
BST2,-0.101133876,0.101133876,False,False
PKM,-0.099572994,0.099572994,False,False
NEAT1,0.09946412,0.09946412,False,False
ISG15,-0.09920889,0.09920889,False,False
TAGAP,-0.09919454,0.09919454,False,False
IRF1,0.09902955,0.09902955,True,False
MT-ATP8,0.098777644,0.098777644,False,False
TPT1,0.09857751,0.09857751,False,False
RPS6,0.096869744,0.096869744,False,True
NKG7,-0.09154722,0.09154722,False,False
KLF2,0.088679925,0.088679925,False,False
TRAC,0.088580176,0.088580176,False,False
RPS19,0.087212004,0.087212004,False,False
MT-CO2,0.08546704,0.08546704,False,False
BTG1,0.08528236,0.08528236,True,False
VIM,0.08472782,0.08472782,False,False
SOCS3,0.080053814,0.080053814,False,False
SLA,-0.07878206,0.07878206,False,False
TMSB10,0.07771288,0.07771288,False,False
TUBA1B,-0.077671,0.077671,False,False
MX1,-0.07624321,0.07624321,False,False
ACTB,-0.07395857,0.07395857,False,False
PIM1,0.07317856,0.07317856,False,False
TIGIT,-0.07149421,0.07149421,False,False
APOBEC3G,-0.0708309,0.0708309,False,False
SAT1,0.06940722,0.06940722,True,False
MIR155HG,-0.0685368,0.0685368,False,False
NR3C1,-0.06836443,0.06836443,False,False
CTSW,-0.06721331,0.06721331,False,False
CD63,-0.066834,0.066834,False,False
RBPJ,-0.06610873,0.06610873,False,False
CTLA4,-0.06447548,0.06447548,False,False
FKBP5,-0.064371064,0.064371064,False,False
FABP5,-0.06367065,0.06367065,False,False
PGAM1,-0.06134795,0.06134795,False,False
NBEAL1,0.060361214,0.060361214,False,False
RPL41,0.059632055,0.059632055,False,False
MT2A,-0.059341535,0.059341535,False,True
TNFAIP3,0.05820115,0.05820115,False,False
TOX,-0.057776544,0.057776544,False,False
GADD45B,0.057560157,0.057560157,True,False
IFI44L,-0.057525136,0.057525136,False,False
TSC22D3,0.057242557,0.057242557,False,False
PTPRCAP,-0.05662516,0.05662516,False,False
FCMR,0.05565287,0.05565287,False,False
CD40LG,-0.05523404,0.05523404,False,False
PBXIP1,0.05502494,0.05502494,False,False
LYAR,0.054575745,0.054575745,False,True
GIMAP4,0.05456184,0.05456184,False,False
SOCS1,0.054416295,0.054416295,True,False
AQP3,0.05410724,0.05410724,False,False
NCF1,0.05303475,0.05303475,False,False
GBP5,0.052249588,0.052249588,False,False
KRT86,-0.05170084,0.05170084,False,False
TENT5C,0.051611252,0.051611252,False,False
OASL,-0.050485425,0.050485425,False,False
ENO1,-0.048476744,0.048476744,False,False
LINC00861,0.047931,0.047931,False,False
TOB1,0.047447708,0.047447708,True,False
RNF19A,-0.047190625,0.047190625,False,False
LINC01871,-0.04624002,0.04624002,False,False
TNFRSF18,-0.045897678,0.045897678,False,False
STMN1,-0.04580542,0.04580542,False,True
EIF2AK2,-0.045706745,0.045706745,False,False
HSPA5,-0.045146972,0.045146972,True,False
KLRB1,-0.04472664,0.04472664,False,False
TYROBP,-0.04446187,0.04446187,False,False
AHNAK,0.04391433,0.04391433,False,False
PDE4B,0.043831818,0.043831818,False,False
MCL1,0.043666914,0.043666914,True,False
ADGRE5,-0.04329426,0.04329426,False,False
ICOS,-0.04313165,0.04313165,False,False
OAS1,-0.0425795,0.0425795,False,False
MBP,0.042287935,0.042287935,True,False
JUNB,-0.04208769,0.04208769,True,False
GNLY,0.042061165,0.042061165,False,False
HERPUD1,0.041792825,0.041792825,True,False
GIMAP7,0.04134862,0.04134862,False,False
RIPOR2,0.041318823,0.041318823,False,False
CST7,-0.041284725,0.041284725,False,False
CKLF,0.04024329,0.04024329,False,False
SYNE2,0.040201493,0.040201493,False,False
KLRC1,-0.040091265,0.040091265,False,False
PLSCR1,-0.040024642,0.040024642,False,False
CMC1,-0.039392486,0.039392486,False,False
SAMSN1,-0.039206542,0.039206542,False,False
CAMK4,0.03855402,0.03855402,False,False
CD8A,-0.03778427,0.03778427,False,False
HMGN2,-0.03777552,0.03777552,False,True
CLDND1,0.03754532,0.03754532,False,False
CD27,0.037510894,0.037510894,False,False
NFKBIZ,0.037237808,0.037237808,False,False
LYST,-0.037101846,0.037101846,False,False
CRTAM,-0.03700147,0.03700147,False,False
GZMH,-0.036839884,0.036839884,False,False
LINC02273,0.036765113,0.036765113,False,False
IFI35,-0.036545925,0.036545925,False,False
AREG,-0.036373097,0.036373097,False,False
PLEC,0.03614657,0.03614657,False,False
GAPDH,-0.035725646,0.035725646,False,False
SORL1,0.03526878,0.03526878,False,False
IL6ST,-0.0350767,0.0350767,False,False
STAT1,-0.034711633,0.034711633,False,False
ITGAE,-0.034592465,0.034592465,False,False
ITM2C,-0.03411324,0.03411324,False,False
S1PR1,0.03406445,0.03406445,False,False
TIMP1,0.033758868,0.033758868,True,False
