gene,drift_velocity,abs_drift,is_death_gene,is_birth_gene
ZFP36L2,0.3784415,0.3784415,False,False
LTB,0.32177815,0.32177815,False,False
RPS26,0.3080579,0.3080579,False,False
FTL,0.25226116,0.25226116,True,False
MT-ND4,0.24603365,0.24603365,False,False
ZFP36,0.2444087,0.2444087,False,False
S100A4,0.22846526,0.22846526,True,False
DDIT4,0.21132198,0.21132198,True,False
IER2,0.20699236,0.20699236,False,False
MT-ND6,-0.19731496,0.19731496,False,False
DUSP1,0.18904595,0.18904595,False,False
BTG1,0.18456347,0.18456347,True,False
MT-ATP6,0.17526534,0.17526534,False,False
COTL1,0.17306927,0.17306927,False,False
IL7R,0.16876726,0.16876726,False,False
DUSP2,0.1572596,0.1572596,False,True
RPS13,0.15216288,0.15216288,False,False
DNAJB1,0.14797239,0.14797239,False,False
RPL11,0.14639293,0.14639293,False,False
FTH1,0.1431547,0.1431547,False,False
S100A6,0.14075917,0.14075917,False,False
CXCL13,-0.13765293,0.13765293,False,False
RPL34,0.13694687,0.13694687,False,True
IFI6,-0.13664433,0.13664433,False,False
XCL1,-0.135495,0.135495,False,False
MT-CYB,0.13386668,0.13386668,False,False
SPOCK2,0.1313067,0.1313067,False,False
ANXA1,-0.12865289,0.12865289,True,False
BTG2,0.12774968,0.12774968,True,False
TRBC1,0.12556963,0.12556963,False,False
TSC22D3,0.12406745,0.12406745,False,False
XCL2,-0.12273093,0.12273093,False,False
ITM2A,-0.122367926,0.122367926,False,False
RPS8,0.12188745,0.12188745,False,False
IL32,0.121443994,0.121443994,False,False
MT-ND4L,0.11878875,0.11878875,False,False
CALR,-0.11578161,0.11578161,True,False
IFITM1,-0.11407482,0.11407482,False,False
ISG15,-0.111877404,0.111877404,False,False
SLC2A3,0.11142071,0.11142071,False,False
TPT1,0.110750094,0.110750094,False,False
NKG7,-0.10166537,0.10166537,False,False
TRAC,0.10043641,0.10043641,False,False
BST2,-0.09900356,0.09900356,False,False
KLRD1,-0.09825355,0.09825355,False,False
MT-CO3,0.09811598,0.09811598,False,False
RPS6,0.097432755,0.097432755,False,True
IRF1,0.09737008,0.09737008,True,False
PKM,-0.09633959,0.09633959,False,False
NEAT1,0.09599438,0.09599438,False,False
ALOX5AP,-0.09482606,0.09482606,False,False
MT-ATP8,0.09194823,0.09194823,False,False
RPS19,0.0917192,0.0917192,False,False
KLF6,-0.090487085,0.090487085,False,False
MX1,-0.08888671,0.08888671,False,False
CD69,-0.0876318,0.0876318,True,False
TUBA1B,-0.08660715,0.08660715,False,False
MT-ND3,0.08518906,0.08518906,False,False
SOCS3,0.0831149,0.0831149,False,False
VIM,0.08251487,0.08251487,False,False
TMSB10,0.0816483,0.0816483,False,False
PIM1,0.08019938,0.08019938,False,False
